config,instance,severity,method,policy_source,seed,total_cost,departed,cpu,breakdown_count
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,0,3891.4142,20,194.5707,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,1,3827.084,16,239.1928,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,2,3984.8248,20,199.2412,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,3,3864.1254,20,193.2063,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,4,3634.0052,15,242.267,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,5,3820.7266,22,173.6694,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,6,3857.431,15,257.1621,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,7,3679.9432,17,216.4672,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,8,3989.1134,20,199.4557,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,9,3574.8914,14,255.3494,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,10,3987.1622,20,199.3581,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,11,4082.3722,13,314.0286,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,12,3441.9622,12,286.8302,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,13,3654.9408,14,261.0672,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,14,3966.157,16,247.8848,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,15,3904.0334,16,244.0021,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,16,3764.4902,15,250.966,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,17,4111.4574,16,256.9661,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,18,4230.8858,18,235.0492,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,19,3773.3412,20,188.6671,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,20,3754.5602,19,197.6084,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,21,4230.6758,17,248.8633,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,22,4163.1128,12,346.9261,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,23,4087.6746,23,177.725,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,24,3585.5076,17,210.9122,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,25,4120.1218,19,216.8485,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,26,3812.6556,16,238.291,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,27,3880.5406,16,242.5338,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,28,4311.6412,15,287.4427,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,29,4485.7376,13,345.0567,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,30,3856.9548,18,214.2753,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,31,4081.291,13,313.9455,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,32,3990.659,19,210.0347,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,33,3942.7156,19,207.5113,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,34,3693.6366,18,205.202,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,35,4090.3956,15,272.693,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,36,3886.8666,16,242.9292,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,37,4191.7204,18,232.8734,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,38,4005.919,19,210.8378,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,39,4146.9604,16,259.185,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,40,3901.778,15,260.1185,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,41,3697.963,13,284.4587,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,42,3702.8602,18,205.7145,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,43,3607.4524,19,189.8659,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,44,3899.6978,17,229.394,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,45,3820.541,17,224.7377,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,46,4252.3556,14,303.7397,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,47,3885.2792,19,204.4884,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,48,3799.0034,19,199.9475,
j10c5a2__A070.json,j10c5a2,A070,ShortestQueue,ns:baselines.run_episode,49,3800.7418,16,237.5464,
