instance,severity,method,cpu_mean,cpu_sd,episodes
j10c5a2,A070,CostMinimising,424.67,106.83,50
j10c5a2,A070,HBQ,236.12,37.67,50
j10c5a2,A070,LeastUtilised,237.14,42.81,50
j10c5a2,A070,Random,227.15,29.98,50
j10c5a2,A070,RoundRobin,230.68,38.06,50
j10c5a2,A070,ShortestQueue,237.54,41.04,50
j10c5a2,A070,VanillaTS,228.61,38.2,50
j10c5a2,A090,CostMinimising,257.67,23.32,50
j10c5a2,A090,HBQ,167.32,21.9,50
j10c5a2,A090,LeastUtilised,170.01,22.51,50
j10c5a2,A090,Random,166.12,19.08,50
j10c5a2,A090,RoundRobin,169.46,20.65,50
j10c5a2,A090,ShortestQueue,171.19,23.6,50
j10c5a2,A090,VanillaTS,169.61,18.78,50
j10c5a2,stationary,CostMinimising,215.35,18.05,50
j10c5a2,stationary,HBQ,150.0,16.14,50
j10c5a2,stationary,LeastUtilised,150.7,11.82,50
j10c5a2,stationary,Random,153.29,17.68,50
j10c5a2,stationary,RoundRobin,152.59,15.92,50
j10c5a2,stationary,ShortestQueue,149.9,11.89,50
j10c5a2,stationary,VanillaTS,153.26,19.83,50
j10c5b1,A070,CostMinimising,426.93,129.45,50
j10c5b1,A070,HBQ,268.95,65.59,50
j10c5b1,A070,LeastUtilised,278.73,51.49,50
j10c5b1,A070,Random,267.5,50.53,50
j10c5b1,A070,RoundRobin,265.25,53.94,50
j10c5b1,A070,ShortestQueue,278.73,51.49,50
j10c5b1,A070,VanillaTS,278.45,55.71,50
j10c5b1,A090,CostMinimising,256.57,30.08,50
j10c5b1,A090,HBQ,194.66,26.57,50
j10c5b1,A090,LeastUtilised,195.12,22.94,50
j10c5b1,A090,Random,197.07,23.66,50
j10c5b1,A090,RoundRobin,194.85,27.92,50
j10c5b1,A090,ShortestQueue,195.12,22.94,50
j10c5b1,A090,VanillaTS,197.92,25.58,50
j10c5b1,stationary,CostMinimising,213.77,24.36,50
j10c5b1,stationary,HBQ,178.53,23.75,50
j10c5b1,stationary,LeastUtilised,180.72,21.03,50
j10c5b1,stationary,Random,169.41,15.86,50
j10c5b1,stationary,RoundRobin,175.28,19.06,50
j10c5b1,stationary,ShortestQueue,180.72,21.03,50
j10c5b1,stationary,VanillaTS,178.52,20.89,50
j10c5c1,A070,CostMinimising,485.32,107.59,50
j10c5c1,A070,HBQ,201.46,27.32,50
j10c5c1,A070,LeastUtilised,217.32,29.33,50
j10c5c1,A070,Random,207.73,25.41,50
j10c5c1,A070,RoundRobin,215.02,25.65,50
j10c5c1,A070,ShortestQueue,211.65,24.7,50
j10c5c1,A070,VanillaTS,209.37,26.12,50
j10c5c1,A090,CostMinimising,303.01,38.45,50
j10c5c1,A090,HBQ,141.29,12.55,50
j10c5c1,A090,LeastUtilised,146.27,15.82,50
j10c5c1,A090,Random,146.67,14.61,50
j10c5c1,A090,RoundRobin,150.76,13.94,50
j10c5c1,A090,ShortestQueue,143.64,13.17,50
j10c5c1,A090,VanillaTS,149.61,14.75,50
j10c5c1,stationary,CostMinimising,239.49,16.67,50
j10c5c1,stationary,HBQ,123.36,7.5,50
j10c5c1,stationary,LeastUtilised,127.06,8.24,50
j10c5c1,stationary,Random,128.31,7.76,50
j10c5c1,stationary,RoundRobin,130.76,9.56,50
j10c5c1,stationary,ShortestQueue,125.68,7.76,50
j10c5c1,stationary,VanillaTS,128.76,8.43,50
j10c5d1,A070,CostMinimising,570.17,110.7,50
j10c5d1,A070,HBQ,205.24,25.93,50
j10c5d1,A070,LeastUtilised,244.47,56.83,50
j10c5d1,A070,Random,206.0,24.25,50
j10c5d1,A070,RoundRobin,229.99,34.59,50
j10c5d1,A070,ShortestQueue,250.6,60.63,50
j10c5d1,A070,VanillaTS,204.8,30.13,50
j10c5d1,A090,CostMinimising,339.47,34.86,50
j10c5d1,A090,HBQ,140.78,13.87,50
j10c5d1,A090,LeastUtilised,151.22,16.01,50
j10c5d1,A090,Random,144.64,12.63,50
j10c5d1,A090,RoundRobin,152.15,12.87,50
j10c5d1,A090,ShortestQueue,154.01,13.84,50
j10c5d1,A090,VanillaTS,140.64,11.48,50
j10c5d1,stationary,CostMinimising,284.97,22.28,50
